row,content_date
5501,20-dic-91
5502,20-dic-91
5503,15-dic-89
5505,"November 24, l987"
5509,22-dic-89
5511,22-dic-89
5516,20-dic-91
5517,22-dic-89
5519,15-dic-89
5520,15-dic-89
5521,15-dic-89
5522,15-dic-89
5523,15-dic-89
5524,15-dic-89
5525,15-dic-89
5526,15-dic-89
5533,22-dic-89
5534,22-dic-89
5537,15-dic-89
5538,04-ago-84
5539,04-ago-84
5540,04-ago-84
5549,20-dic-91
5550,20-dic-91
5552,15-dic-89
5554,22-dic-89
5555,22-dic-89
5556,22-dic-89
5557,22-dic-89
5558,22-dic-89
5559,22-dic-89
5560,22-dic-89
5561,"December 30, l987"
5568,22-dic-89
5569,22-dic-89
5572,"November 24, l987"
5575,22-dic-89
5576,22-dic-89
5577,22-dic-89
5578,22-dic-89
5579,22-dic-89
5580,"November 24, l987"
5586,"November 24, l987"
5590,30-dic-87
5591,30-dic-87
5594,22-dic-89
5603,15-dic-89
5605,22-dic-89
5610,"November 24, l987"
5618,"November 24, l987"
5619,"November 24, l987"
5620,"November 24, l987"
5621,"November 24, l987"
5627,22-dic-89
5631,22-dic-89
5632,30-dic-87
5634,22-dic-89
5635,22-dic-89
5636,22-dic-89
5637,"November 24, l987"
5644,20-dic-91
5646,20-dic-91
5647,20-dic-91
5648,20-dic-91
5650,20-dic-91
5654,20-dic-91
5657,20-dic-91
5658,20-dic-91
5659,20-dic-91
5660,20-dic-91
5661,20-dic-91
5662,20-dic-91
5666,04-ago-84
5667,20-dic-91
5682,20-dic-91
5684,20-dic-91
5685,22-dic-89
5688,16-dic-92
5689,16-dic-92
5690,16-dic-92
5691,16-dic-92
5692,16-dic-92
5693,16-dic-92
5694,16-dic-92
5695,16-dic-92
5696,16-dic-92
5697,16-dic-92
5698,22-dic-89
5699,22-dic-89
5700,22-dic-89
5701,22-dic-89
5702,04-ago-84
5703,22-dic-89
5713,15-dic-89
5714,"November 24, l987"
5720,04-ago-84
5721,04-ago-84
5722,04-ago-84
5723,04-ago-84
5724,04-ago-84
5725,04-ago-84
5726,04-ago-84
5727,04-ago-84
5728,04-ago-84
5729,04-ago-84
5730,04-ago-84
5731,04-ago-84
5732,04-ago-84
5733,04-ago-84
5734,04-ago-84
5735,04-ago-84
5736,04-ago-84
5737,04-ago-84
5738,04-ago-84
5739,04-ago-84
5740,04-ago-84
5741,04-ago-84
5742,04-ago-84
5743,04-ago-84
5744,04-ago-84
5745,04-ago-84
5751,04-ago-84
5752,04-ago-84
5753,04-ago-84
5754,04-ago-84
5759,22-dic-89
5761,15-dic-89
5763,22-dic-89
5764,04-ago-84
5765,04-ago-84
5766,22-dic-89
5768,20-dic-91
5769,04-ago-84
5770,04-ago-84
5771,04-ago-84
5772,04-ago-84
5773,04-ago-84
5774,04-ago-84
5775,04-ago-84
5776,04-ago-84
5777,04-ago-84
5778,04-ago-84
5779,04-ago-84
5780,04-ago-84
5781,04-ago-84
5782,04-ago-84
5784,04-ago-84
5785,04-ago-84
5786,04-ago-84
5787,04-ago-84
5788,04-ago-84
5789,04-ago-84
5790,04-ago-84
5791,04-ago-84
5792,04-ago-84
5794,04-ago-84
5795,04-ago-84
5796,22-dic-89
5797,22-dic-89
5798,22-dic-89
5799,22-dic-89
5800,22-dic-89
5801,22-dic-89
5802,15-dic-89
5804,22-dic-89
5805,15-dic-89
5806,15-dic-89
5807,22-dic-89
5808,"March 1, l989"
5809,15-dic-89
5810,15-dic-89
5811,15-dic-89
5814,20-dic-91
5832,20-dic-91
5833,20-dic-91
5845,20-dic-91
5849,20-dic-91
5851,20-dic-91
5854,20-dic-91
5855,20-dic-91
5862,20-dic-91
5863,20-dic-91
5864,20-dic-91
5868,20-dic-91
5874,20-dic-91
5879,22-dic-89
5880,22-dic-89
5881,22-dic-89
5882,30-dic-87
5884,30-dic-87
5886,"November 24, l987"
5896,"November 24, l987"
5900,22-dic-89
5901,22-dic-89
5902,22-dic-89
5903,22-dic-89
5904,22-dic-89
5905,"November 24, l987"
5906,"November 24, l987"
5911,"November 24, l987"
5912,"November 24, l987"
5913,"November 24, l987"
5919,15-dic-89
5924,22-dic-89
5927,22-dic-89
5929,22-dic-89
5930,22-dic-89
5931,22-dic-89
5932,22-dic-89
5934,22-dic-89
5935,22-dic-89
5936,22-dic-89
5937,30-dic-87
5951,30-dic-87
5952,15-dic-89
5956,22-dic-89
5957,22-dic-89
5960,22-dic-89
5962,22-dic-89
5973,30-dic-87
5975,30-dic-87
5976,22-dic-89
5977,22-dic-89
5978,22-dic-89
5979,22-dic-89
5980,22-dic-89
5982,22-dic-89
5983,22-dic-89
5984,15-dic-89
5986,22-dic-89
5988,04-ago-84
5991,15-dic-89
5992,15-dic-89
5993,15-dic-89
5994,15-dic-89
5995,15-dic-89
5996,04-ago-84
5997,01-dic-90
5998,15-dic-89
5999,20-dic-91
6000,20-dic-91
6056,10-dic-93
6066,20-dic-91
6067,10-dic-93
6069,10-dic-93
6075,10-dic-93
6098,10-dic-93
6100,10-dic-93
6106,10-dic-93
6124,30-dic-87
6126,30-dic-87
6127,30-dic-87
6130,30-dic-87
6134,30-dic-87
6136,10-dic-93
