Tracking Number,Lat,Lng
M65774,18.34829,-64.98348
M65775,18.34829,-64.98348
M65776,18.34829,-64.98348
M65777,18.34829,-64.98348
M65778,18.34829,-64.98348
M65779,18.34829,-64.98348
M65780,18.34829,-64.98348
M65781,18.34829,-64.98348
M65782,18.34829,-64.98348
M65783,18.34829,-64.98348
M65784,18.34829,-64.98348
M65785,18.34829,-64.98348
M65786,18.34829,-64.98348
M65787,18.34829,-64.98348
M65788,18.34829,-64.98348
M65790,18.34829,-64.98348
M65791,18.34829,-64.98348
M65792,18.34829,-64.98348
M65793,,
M65794,,
M65796,,
M65797,,
M65798,,
M65799,,
M65800,,
M65801,39.76,-98.5
M65802,39.76,-98.5
M65803,39.76,-98.5
M65804,39.76,-98.5
M65805,39.76,-98.5
M65806,39.76,-98.5
M65807,39.76,-98.5
M65808,39.76,-98.5
M65809,39.76,-98.5
M65810,39.76,-98.5
M65811,39.76,-98.5
M65812,39.76,-98.5
M65813,39.76,-98.5
M65814,39.76,-98.5
M65815,39.76,-98.5
M65816,39.76,-98.5
M65817,39.76,-98.5
M65818,39.76,-98.5
M65819,39.76,-98.5
M65820,39.76,-98.5
M65821,39.76,-98.5
M65822,39.76,-98.5
M65823,39.76,-98.5
M65824,39.76,-98.5
M65825,39.76,-98.5
M65826,39.76,-98.5
M65827,39.76,-98.5
M65828,39.76,-98.5
M65829,39.76,-98.5
M65830,39.76,-98.5
M65831,39.76,-98.5
M65832,39.76,-98.5
M65833,39.76,-98.5
M65834,39.76,-98.5
M65835,39.76,-98.5
M65836,39.76,-98.5
M65837,39.76,-98.5
M65838,39.76,-98.5
M65839,39.76,-98.5
M65840,39.76,-98.5
M65841,,
M65842,,
M65843,,
M65844,,
M65845,,
M65846,,
M65847,,
M65848,,
M65849,,
M65850,,
M65851,,
M65852,-18.191,144.611
M65853,1.25,32.5
M65854,1.25,32.5
M65855,1.25,32.5
M65856,1.25,32.5
M65857,39.76,-98.5
M65858,39.76,-98.5
M65859,39.76,-98.5
M65860,39.76,-98.5
M65861,39.76,-98.5
M65862,39.76,-98.5
M65863,39.76,-98.5
M65864,39.76,-98.5
M65865,23.75,54.5
M65866,23.75,54.5
M65867,23.75,54.5
M65868,23.75,54.5
M65869,23.75,54.5
M65870,23.75,54.5
M65871,23.75,54.5
M65872,23.75,54.5
M65873,54.75844,-2.69531
M65874,54.75844,-2.69531
M65875,54.75844,-2.69531
M65876,54.75844,-2.69531
M65877,54.75844,-2.69531
M65878,54.75844,-2.69531
M65879,54.75844,-2.69531
M65880,54.75844,-2.69531
M65881,54.75844,-2.69531
M65882,54.75844,-2.69531
M65883,54.75844,-2.69531
M65884,54.75844,-2.69531
M65885,54.75844,-2.69531
M65886,54.75844,-2.69531
M65887,54.75844,-2.69531
M65888,54.75844,-2.69531
M65889,54.75844,-2.69531
M65890,54.75844,-2.69531
M65891,54.75844,-2.69531
M65892,54.75844,-2.69531
M65893,54.75844,-2.69531
M65894,54.75844,-2.69531
M65895,54.75844,-2.69531
M65896,54.75844,-2.69531
M65897,54.75844,-2.69531
M65898,54.75844,-2.69531
M65899,54.75844,-2.69531
M65900,54.75844,-2.69531
M65901,54.75844,-2.69531
M65902,54.75844,-2.69531
M65903,54.75844,-2.69531
M65904,54.75844,-2.69531
M65905,54.75844,-2.69531
M65906,54.75844,-2.69531
M65907,54.75844,-2.69531
M65908,54.75844,-2.69531
M65909,54.75844,-2.69531
M65910,54.75844,-2.69531
M65911,54.75844,-2.69531
M65912,54.75844,-2.69531
M65913,54.75844,-2.69531
M65914,54.75844,-2.69531
M65915,54.75844,-2.69531
M65916,54.75844,-2.69531
M65917,54.75844,-2.69531
M65918,54.75844,-2.69531
M65919,54.75844,-2.69531
M65920,54.75844,-2.69531
M65921,54.75844,-2.69531
M65922,54.75844,-2.69531
M65923,54.75844,-2.69531
M65924,54.75844,-2.69531
M65925,54.75844,-2.69531
M65926,54.75844,-2.69531
M65927,54.75844,-2.69531
M65928,54.75844,-2.69531
M65929,54.75844,-2.69531
M65930,54.75844,-2.69531
M65931,54.75844,-2.69531
M65932,54.75844,-2.69531
M65933,54.75844,-2.69531
M65934,54.75844,-2.69531
M65935,54.75844,-2.69531
M65936,54.75844,-2.69531
M65937,54.75844,-2.69531
M65938,54.75844,-2.69531
M65939,54.75844,-2.69531
M65940,54.75844,-2.69531
M65941,54.75844,-2.69531
M65942,54.75844,-2.69531
M65943,54.75844,-2.69531
M65944,54.75844,-2.69531
M65945,54.75844,-2.69531
M65946,54.75844,-2.69531
M65947,54.75844,-2.69531
M65948,54.75844,-2.69531
M65949,54.75844,-2.69531
M65950,54.75844,-2.69531
M65951,54.75844,-2.69531
M65952,54.75844,-2.69531
M65953,54.75844,-2.69531
M65954,54.75844,-2.69531
M65955,54.75844,-2.69531
M65956,54.75844,-2.69531
M65957,54.75844,-2.69531
M65958,54.75844,-2.69531
M65959,54.75844,-2.69531
M65960,54.75844,-2.69531
M65961,54.75844,-2.69531
M65962,54.75844,-2.69531
M65963,54.75844,-2.69531
M65964,54.75844,-2.69531
M65965,54.75844,-2.69531
M65966,54.75844,-2.69531
M65967,54.75844,-2.69531
M65968,54.75844,-2.69531
M65969,54.75844,-2.69531
M65970,54.75844,-2.69531
M65971,54.75844,-2.69531
M65972,54.75844,-2.69531
M65973,54.75844,-2.69531
M65974,54.75844,-2.69531
M65975,54.75844,-2.69531
M65976,54.75844,-2.69531
M65977,54.75844,-2.69531
M65978,54.75844,-2.69531
M65979,54.75844,-2.69531
M65980,54.75844,-2.69531
M65981,54.75844,-2.69531
M65982,54.75844,-2.69531
M65983,54.75844,-2.69531
M65984,54.75844,-2.69531
M65985,54.75844,-2.69531
M65986,54.75844,-2.69531
M65987,54.75844,-2.69531
M65988,54.75844,-2.69531
M65989,54.75844,-2.69531
M65990,54.75844,-2.69531
M65991,54.75844,-2.69531
M65992,54.75844,-2.69531
M65993,54.75844,-2.69531
M65994,54.75844,-2.69531
M65995,54.75844,-2.69531
M65996,54.75844,-2.69531
M65997,54.75844,-2.69531
M65998,54.75844,-2.69531
M65999,54.75844,-2.69531
M66000,54.75844,-2.69531
M66001,54.75844,-2.69531
M66002,54.75844,-2.69531
M66003,54.75844,-2.69531
M66004,54.75844,-2.69531
M66005,54.75844,-2.69531
M66006,54.75844,-2.69531
M66007,54.75844,-2.69531
M66008,54.75844,-2.69531
M66009,54.75844,-2.69531
M66010,54.75844,-2.69531
M66011,54.75844,-2.69531
M66012,54.75844,-2.69531
M66013,54.75844,-2.69531
M66014,54.75844,-2.69531
M66015,54.75844,-2.69531
M66016,54.75844,-2.69531
M66017,54.75844,-2.69531
M66018,54.75844,-2.69531
M66019,54.75844,-2.69531
M66020,54.75844,-2.69531
M66021,54.75844,-2.69531
M66022,54.75844,-2.69531
M66023,54.75844,-2.69531
M66024,54.75844,-2.69531
M66025,54.75844,-2.69531
M66026,54.75844,-2.69531
M66027,54.75844,-2.69531
M66028,54.75844,-2.69531
M66029,54.75844,-2.69531
M66030,54.75844,-2.69531
M66031,54.75844,-2.69531
M66032,54.75844,-2.69531
M66033,54.75844,-2.69531
M66034,54.75844,-2.69531
M66035,54.75844,-2.69531
M66036,54.75844,-2.69531
M66037,54.75844,-2.69531
M66038,54.75844,-2.69531
M66039,54.75844,-2.69531
M66040,54.75844,-2.69531
M66041,54.75844,-2.69531
M66042,54.75844,-2.69531
M66043,54.75844,-2.69531
M66044,54.75844,-2.69531
M66045,54.75844,-2.69531
M66046,54.75844,-2.69531
M66047,54.75844,-2.69531
M66048,54.75844,-2.69531
M66049,54.75844,-2.69531
M66050,54.75844,-2.69531
M66051,54.75844,-2.69531
M66052,54.75844,-2.69531
M66053,54.75844,-2.69531
M66054,54.75844,-2.69531
M66055,54.75844,-2.69531
M66056,54.75844,-2.69531
M66057,54.75844,-2.69531
M66058,54.75844,-2.69531
M66059,54.75844,-2.69531
M66060,54.75844,-2.69531
M66061,54.75844,-2.69531
M66062,54.75844,-2.69531
M66063,54.75844,-2.69531
M66064,54.75844,-2.69531
M66065,54.75844,-2.69531
M66066,54.75844,-2.69531
M66067,54.75844,-2.69531
M66068,54.75844,-2.69531
M66069,54.75844,-2.69531
M66070,54.75844,-2.69531
M66071,54.75844,-2.69531
M66072,54.75844,-2.69531
M66073,54.75844,-2.69531
M66074,54.75844,-2.69531
M66075,54.75844,-2.69531
M66076,54.75844,-2.69531
M66077,54.75844,-2.69531
M66078,54.75844,-2.69531
M66079,54.75844,-2.69531
M66080,54.75844,-2.69531
M66081,54.75844,-2.69531
M66082,54.75844,-2.69531
M66083,54.75844,-2.69531
M66084,54.75844,-2.69531
M66085,54.75844,-2.69531
M66086,54.75844,-2.69531
M66087,54.75844,-2.69531
M66088,54.75844,-2.69531
M66089,54.75844,-2.69531
M66090,54.75844,-2.69531
M66091,54.75844,-2.69531
M66092,54.75844,-2.69531
M66093,54.75844,-2.69531
M66094,54.75844,-2.69531
M66095,54.75844,-2.69531
M66096,54.75844,-2.69531
M66097,54.75844,-2.69531
M66098,54.75844,-2.69531
M66099,54.75844,-2.69531
