EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,EMU Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec
3356859,R,119847,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356857,R,119846,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3356873,R,119854,,,,,Squamata,Hydrophiidae,Laticauda,colubrina,,3029063,,,,,,,,,,,,,,,,,,South Pacific,,Fiji Islands,,,,,,Pacific Ocean,presumably from vic Suva,,,,,,,,,
3603105,R,81856,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3603110,R,81858,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3603119,R,81862,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3603121,R,81863,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3603108,R,81857,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3629416,R,87488,,Minton,1961-09-30,1961-09-30,Squamata,Hydrophiidae,Disteira,schistosa,,3064590,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Karachi Harbor, Yari Creek",,,,,,,,,
3628225,R,86899,,J. Anderson & Sherman A. Minton,1961-06-22,1961-06-22,Squamata,Hydrophiidae,Disteira,schistosa,,3064276,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,nr mouth Malir River,Karachi,,,,,,,,
