PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
2057093	SKIN	828087		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057095	SKIN	828088		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057098	SKIN	828089		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057101	SKIN	828090		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057078	SKIN	828082		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057058	SKEL	14490		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057055	SKEL	14489		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057079	SKEL	14497		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057082	SKEL	14498		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057085	SKEL	14499		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057088	SKEL	14521		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057102	SKEL	14502		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057051	SKIN	828073		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057096	SKEL	14500		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057099	SKEL	14501		13 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057061	SKEL	14491		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057064	SKEL	14492		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057067	SKEL	14493		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057073	SKEL	14495		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057070	SKEL	14494		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057066	SKIN	828078		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057076	SKEL	14496		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057091	SKEL	14480		12 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
2057060	SKIN	828076		11 Jul 1984			Jay Pitocchelli	Passeriformes	Parulidae	Geothlypis	tolmiei		North and Central America	USA	Chelan Co.				Sears Creek	Washington							
6078410	SKIN	193220		24 Jul 1903			A. Seale			Globicera	rufigula		Oceania	Solomon Islands		Shortland Islands	Shortland Island	South Pacific		Western Province							
6078412	SKIN	193221		16 Jun 1903			A. Seale			Globicera	rufigula		Oceania	Solomon Islands		Shortland Islands	Shortland Island	South Pacific		Western Province							
6078616	SKIN	193334		15 Jun 1903			A. Seale			Graculus	hypoleucus		Oceania	Solomon Islands		Shortland Islands	Shortland Island	South Pacific		Western Province							
6497565	SKIN	221686	bis	01 Oct 1927		Whitney South Sea Expedition	R. H. Beck & Assts.			Graucalus	holopolium	pygmaeum	Oceania	Solomon Islands		New Georgia Islands	Kolombangara	South Pacific	Ariel Cove and inland	Western Province						-8.036804	156.957109
6365127	SKIN	60878		14 Jul 1894			Frank X. Holzner			Guiraca	c.	eurhyncha	North and Central America	USA					Last Mts Pacific Coast	California							
6311627	SKIN	67912		14 Dec 1888			R. C. McGregor			Helminthophila	c.	lutescens	North and Central America	USA					Ocean View	California							
5593107	SKIN	438136		08 Sep 1912			Wm. B. Richardson			Hglophylax	naevoides			W. Colom.					Barbacoas, (sea level) Narino								
5972918	SKIN	262088		11 Mar 1926		Ruwenzori-Kivu Expedition		Charadriiformes	Laridae	Hydrocoloeus	r.	ridibundus							Port Sudan, W. coast of Red Sea								
6152863	SKIN	165323		17 Dec 1915			R. H. Beck	Falconiformes	Falconidae	Ibycter	australis			Falkland Islands					Sea Lion I.								
6152861	SKIN	165322		17 Dec 1915			R. H. Beck	Falconiformes	Falconidae	Ibycter	australis			Falkland Islands					Sea Lion I.								
6281791	SKIN	88547		04 Nov 1893			W. W. Price	Passeriformes	Passerellidae	Junco	hyemalis	oregamis	North and Central America	USA	San Mateo Co.				Searsville	California							
6281789	SKIN	88546		04 Nov 1893			W. W. Price	Passeriformes	Passerellidae	Junco	hyemalis	oregamis	North and Central America	USA	San Mateo Co.				Searsville	California							
6281787	SKIN	88545		04 Nov 1893			W. W. Price	Passeriformes	Passerellidae	Junco	hyemalis	oregamis typical oregamis(Townsend)	North and Central America	USA	San Mateo Co.				Searsville	California							
6393539	SKIN	35764		04 Mar 1884				Charadriiformes	Laridae	Larus	a.	smithsonianus	North and Central America	USA					Atlantic City	New Jersey							
6393543	SKIN	35766		04 Mar 1889				Charadriiformes	Laridae	Larus	a.	smithsonianus	North and Central America	USA					Atlantic City	New Jersey							
5751091	SKIN	358343		01 Jan 1906				Charadriiformes	Laridae	Larus	canus	brachyrhynchos	North and Central America	USA	Monterey Co.				Pacific Grove	California							
